Nome_Upa;Contagem_Avaliacoes;Pontuacao_Total;Cidade;Estado;Bairro;Rua;CEP;Origem_Avaliacao;Data_Coleta;Data_Publicacao_Avaliacao;Texto_Avaliacao;Estrelas
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-15T14:05:01;AVALIACAO NAO PREENCHIDA;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-13T23:51:33;LONGE DE SER PERFEITO, TEM SEUS DEFEITOS, MAS O SUS FUNCIONA SIM. CHEGUEI HOJE (13/10) E TAVA BEM VAZIO.... FUI ATENDIDO MUITO BEM DA TRIAGEM ATE AS MENINAS  DE MEDICAMENTOS, A DRA CLINICA GERAL DE PLANTAO FOI OTIMA, E O CIRURGIAO QUE ME AJUDOU COM O ABCESSO/FURUNCULO TAMBEM.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-06T16:40:07;SO TENHO A AGRADECER A DEUS PRIMEIRAMENTE E DEPOIS A TODOS VOCES DO UPA 21 DE JUNHO QUE SOCORRERAM MEU PAIZINHO! DEUS ABENCOE GRANDEMENTE A VIDA DE CADA UM DE VCS!;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-03T20:55:16;TENHO ARTOSE NO JOELHO, E DESDE FEVEREIRO TENHO IDO QUASE TODA SEMANA LA, E TODAS AS VEZES QUE PRECISEI USAR A UPA 21 JUNHO FUI MUITO BEM ATENDIDA, DESDE AS GUARDAS ATE A SAIDA, MUITO PRESTATIVOS🥰;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-03T14:22:17;GOSTO MUITO DESSE HOSPITAL. ELE FOI REFORMADO E FICOU BEM MELHOR. ATENDIMENTO E RAPIDO, TO AQUI NUMA SEXTA DE MANHA E TA TUDO BEM. ACREDITO QUE HA LOTACAO E MUITA ESPERA EM OUTROS HORARIOS, COMO EM TODAS AS UNIDADES DE SAUDE, INFELIZMENTE! MAS OS MEDICOS SAO OTIMOS.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-02T08:14:42;TRES MEDICOS PEDIATRAS NA ESCALA SEM CRIANCA NENHUMA PARA ATENDIMENTO ATE O MOMENTO DESTE FAZ UMA HORA QUE ESTAMOS AGUARDANDO ATENDIMENTO ACHO QUE ALGUEM NAO ESTA AQUI OU ESTA DORMINDO NEAH MAIS DE 7 MEDICOS PARA ATENDER 4 PESSOAS SEM TANTAS EMERGENCIAS AGUARDO RESPOSTAS SE TIVEREM VERGONHA NA CARA EM RESPONDER;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-10-01T02:37:10;FUI ATENDIDA NA UPA E TIVE UMA EXPERIENCIA MUITO POSITIVA. O ATENDIMENTO FOI SUPER RAPIDO, MESMO A MINHA CLASSIFICACAO NAO SENDO DE MAIOR URGENCIA. DESDE A RECEPCAO ATE A MEDICACAO, FUI TRATADA COM EMPATIA E PACIENCIA — EXPLICARAM TUDO COM CLAREZA SOBRE MEU CASO. O ESPACO ESTAVA LIMPO E BEM ORGANIZADO, TRANSMITINDO SEGURANCA. NAO SEI SE FOI SORTE NO DIA, MAS RECEBI UM CUIDADO QUE DA ORGULHO DO SUS E QUE, SINCERAMENTE, SUPEROU O ATENDIMENTO DE MUITOS HOSPITAIS PARTICULARES QUE JA FREQUENTEI.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-21T15:12:40;AVALIACAO NAO PREENCHIDA;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-16T16:24:38;NAO ENTENDO UMA HORA PRA MAIS PARA FAZER A FICHA,  OS GUICHES TODA HORA PARANDO E MEXENDO NO CELULAR PURO DESCASO VEREADORES DEVERIAM FAZER FISCALIZACAO E TAMBEM TER UMA COBRANCA SOBRE ESTES FUNCIONARIOS CADEIRA CATIVA , PENSA QUE ESTA ACIMA DE TUDO. NEM VOU COLOCAR AS FOTOS PARA NAO PIORAR A DENUNCIA;1
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-15T23:59:13;BOM ATENDIMENTO DENTRO DO POSSIVEL;4
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-15T20:02:15;SEXTA FEIRA DIA 12/09/25 FUI AO PS COM TOSSE DE 6 DIAS E TIVE UM OTIMO ATENDIMENTO, DR DAN ME PEDIU UM RAIO X DO TORAX, ONDE CONSTOU QUE EU ESTAVA COM CATARRO NO PULMAO, PQ ESTOU FALANDO ISSO, QUANDO VC VAI AO MEDICO COM UMA TOSSE SECA, GERALMENTE OS MEDICOS SO EXAMINAM E PRONTO, ESSE DR FOI SUPER ATENCIOSO, NAQUELE DIA TODOS FORAM DESDE A TRIAGEM A RECEPCAO, POR MAIS MEDICOS ASSIM COMO O DR DAN.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-13T11:09:25;FUI MUITO BEM ATENDIDA.;5
UPA 21 DE JUNHO;133;2.9;SAO PAULO;SAO PAULO;FREGUESIA DO O;AV. JOAO PAULO I, 421;02738-000;Google;2025-10-18T02:19:25;2025-09-06T20:22:02;MUITA GENTE PARA ATENDER.POUCOS MEDICOS EXPERIENTES. SO TEM MEDICO EM  TREINAMENTO. COITADO  DE NOS QUE DEPENDE  DO SUS;2
