address,city,location,neighborhood,postalCode,publishedAtDate,reviewOrigin,reviewsCount,scrapedAt,stars,state,street,text,title,totalScore
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-09-28T23:55:05.218Z,Google,209,2025-10-04T22:10:59.994Z,1,São Paulo,"Av. Miguel Ignácio Curi, 41",UPA sem administração colaboradores sem educação... sem respeito... tratamento péssimo,UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-09-25T13:15:04.652Z,Google,209,2025-10-04T22:10:59.994Z,5,São Paulo,"Av. Miguel Ignácio Curi, 41","Levei minha filha de 5 anos, ano passado (2024) e fomos bem atendidos por todos os profissionais e fomos orientados de como tratá-la em casa pelas enfermeiras e a médica pediátrica.",UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-09-17T21:07:03.024Z,Google,209,2025-10-04T22:10:59.994Z,5,São Paulo,"Av. Miguel Ignácio Curi, 41",Minha neta chegou de madrugada em estado grave. Após uma cirurgia de amídalas e em crise de asma. Foi muito bem recebida e medicada. Agora já está bem recuperada e se alimentando. Quero espressar minha gratidão.,UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-09-17T20:33:19.670Z,Google,209,2025-10-04T22:10:59.994Z,1,São Paulo,"Av. Miguel Ignácio Curi, 41","UMA VERGONHA!!! Esse lugar não merece ser chamado de unidade de pronto atendimento. Hospital lotado, sem médicos suficientes, um verdadeiro descaso com a população. Cheguei às 17h e só consegui sair às 2h da madrugada, em meio a cenas lamentáveis.  As enfermeiras são um completo desrespeito: mal-educadas, ignorantes e sem nenhum tipo de empatia. Uma paciente chegou a abrir a porta da sala e encontrou duas enfermeiras simplesmente conversando e dando risada enquanto a sala de espera estava cheia de gente sofrendo. Em outro momento, havia um rapaz passando muito mal, ninguém o atendia, e só depois que ele desmaiou decidiram se mexer — ainda assim, trataram com descaso, dizendo que ele estava fingindo e que a ficha dele era verde.  Isso é desumano! Profissionais da saúde deveriam ter compromisso com a vida, mas nessa UPA parece que o único interesse é receber o salário no final do mês sem trabalhar de verdade. Médicos ausentes, atendimento lento, equipe sem preparo e sem humanidade. Uma unidade que deveria salvar vidas se tornou um local de humilhação e sofrimento. Uma vergonha para a saúde pública!",UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-09-12T10:32:00.865Z,Google,209,2025-10-04T22:10:59.994Z,2,São Paulo,"Av. Miguel Ignácio Curi, 41","Dependendo do dia e do horario parece a antessala do inferno, hoje chegueias 6:41 acompanhando meu filho com dor no peito, mesmo alertando sobre isso fui orientada a aguardar a chamada nos paineis, ja havia pessoas aguardando e reclamando estar com dor, neste momento a justificativa foi troca de plantao, mesmo as pessoas chegando com cortes e sangrando a orientaçao é a mesma. Zero empatia. Ja sao 7:30 o medico q saiu nao atende o q chegou tbem nao..",UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-08-29T21:57:05.665Z,Google,209,2025-10-04T22:10:59.994Z,2,São Paulo,"Av. Miguel Ignácio Curi, 41","Fiquei OITO horas aguardando dentro da UPA, sendo que 3 horas desse tempo, foi só esperando pra ser medicada com SORO e nada de receber minha medicação. Fui na sala de medicação checar se minha ficha estava lá, não estava. Voltei ao médico para perguntar, qual me tratou com tamanha rispidez e grosseria, dizendo que se eu quisesse ir embora, era só eu ir! RESSALTEI para o médico, algo que já havia falado na triagem, faço uso de medicação controlada, e estava sem minha medicação, o que só piorou meu quadro e sintomas. O médico disse que não poderia fazer nada, que ele não se responsabilizaria se algo acontecesse comigo também! O mesmo médico disse que não tinha responsabilidade alguma sobre minha ficha e que também não estava com ele, a mesma ficha que não estava na sala de medicação, ninguém se responsabilizou pela ficha. No final, uma enfermeira disse que iria checar, após eu dizer que chamaria a polícia, ela retornou me informando que haviam 4 pessoas na minha frente e que eu teria que esperar pois só tinham duas enfermeiras trabalhando. Se olharmos o número de contratação ANUAL de Enfermagem para o sistema público, não bate uma equipe contar só com duas enfermeiras desde manhã  Em seis horas de espera, vi pessoas caindo sem forças no chão, depois de tanto chorar e gemer de dor, assim como testemunhei uma senhora com a língua já cheia de bolhas depois de tanto vomitar na frente de todos os outros usuários, e nada de ser atendida. Eu, já tremendo de tanto passar mal, chorando, com fortes dores de cabeça, sentindo fome e não podia comer nada porque meu problema era gástrico e intestinal, precisei de medicação e não tive amparo.  Sistema único de saúde nos decepciona cada vez mais.",UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-08-23T13:18:55.849Z,Google,209,2025-10-04T22:10:59.994Z,1,São Paulo,"Av. Miguel Ignácio Curi, 41","Em duas situações em que busquei atendimento. A demora era descomunal, higiene e segurança não existem, vi muito lixo por todo piso dentro e fora da unidade, banheiros inutilizáveis, catador de reciclagem entra com saco de coleta para retirar latinhas. Sei que os usuários são os maiores responsáveis por dispensar o lixo no chão, mas precisa de ordem no local. Não parece ambiente de promoção de saúde.",UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-08-08T13:34:32.854Z,Google,209,2025-10-04T22:10:59.994Z,5,São Paulo,"Av. Miguel Ignácio Curi, 41",Ótimo atendimento do Dr Cristhian sua competência e cuidado fizeram total diferença no atendimento ao meu esposo. Por mais profissionais assim na área da saúde.,UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-07-03T20:33:27.653Z,Google,209,2025-10-04T22:10:59.994Z,1,São Paulo,"Av. Miguel Ignácio Curi, 41","Hoje estive na UPA com meu pai, que é cadeirante e idoso, e estava passando mal devido a um sangramento. O atendimento do médico foi bom, mas gostaria de expressar minha decepção em relação aos enfermeiros responsáveis pela medicação. Notei que estavam todos conversando e deixando os pacientes esperando por muito tempo. Além disso, a falta de empatia e a ignorância no atendimento aos doentes.  A UPA estava lotada, sem nem um lugar para sentar, enquanto os enfermeiros continuavam a conversar entre si. É triste ver essa situação em um momento tão delicado. Espero que essa avaliação sirva para melhorar o atendimento e o cuidado com os pacientes.",UPA 26 de Agosto,2.6
"Av. Miguel Ignácio Curi, 41 - Vila Carmosina, São Paulo - SP, 08295-005, Brasil",São Paulo,"{'lat': -23.5441558, 'lng': -46.463691}",Vila Carmosina,08295-005,2025-07-03T13:57:14.379Z,Google,209,2025-10-04T22:10:59.994Z,5,São Paulo,"Av. Miguel Ignácio Curi, 41",,UPA 26 de Agosto,2.6
