date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide
2024-01-01 03:00:00+00:00,52.2,17.2,140.0,1.6,56.0,8.1
2024-01-01 04:00:00+00:00,61.0,18.7,144.0,2.0,59.0,10.0
2024-01-01 05:00:00+00:00,72.9,20.5,149.0,2.5,64.0,12.0
2024-01-01 06:00:00+00:00,116.2,24.6,153.0,2.6,71.0,12.9
2024-01-01 07:00:00+00:00,141.6,27.4,153.0,2.1,81.0,11.9
2024-01-01 08:00:00+00:00,156.5,27.9,152.0,1.2,93.0,9.7
2024-01-01 09:00:00+00:00,166.7,26.8,151.0,0.6,102.0,7.7
2024-01-01 10:00:00+00:00,160.7,24.9,151.0,0.2,105.0,6.2
2024-01-01 11:00:00+00:00,141.1,22.8,151.0,0.1,104.0,4.9
2024-01-01 12:00:00+00:00,133.2,21.4,169.0,0.5,98.0,3.8
2024-01-01 13:00:00+00:00,113.2,20.3,173.0,2.0,92.0,3.6
2024-01-01 14:00:00+00:00,99.0,19.7,178.0,3.9,83.0,3.3
2024-01-01 15:00:00+00:00,75.7,19.2,181.0,5.4,76.0,3.0
2024-01-01 16:00:00+00:00,71.2,19.0,181.0,5.8,71.0,2.7
2024-01-01 17:00:00+00:00,69.2,18.8,180.0,5.6,66.0,2.4
2024-01-01 18:00:00+00:00,65.2,18.6,179.0,5.4,63.0,2.2
2024-01-01 19:00:00+00:00,60.1,18.2,178.0,5.4,61.0,2.0
2024-01-01 20:00:00+00:00,54.4,17.8,176.0,5.3,59.0,1.9
2024-01-01 21:00:00+00:00,49.2,17.3,174.0,5.0,58.0,1.8
2024-01-01 22:00:00+00:00,44.2,16.8,170.0,4.4,58.0,1.5
2024-01-01 23:00:00+00:00,39.6,16.1,166.0,3.5,58.0,1.2
2024-01-02 00:00:00+00:00,36.8,15.8,163.0,2.8,57.0,1.3
2024-01-02 01:00:00+00:00,35.7,15.5,161.0,2.6,56.0,1.3
2024-01-02 02:00:00+00:00,35.0,15.3,159.0,2.3,55.0,1.5
2024-01-02 03:00:00+00:00,36.1,15.7,159.0,2.1,55.0,2.7
2024-01-02 04:00:00+00:00,39.1,16.6,163.0,2.3,56.0,5.8
2024-01-02 05:00:00+00:00,44.2,18.2,169.0,2.6,59.0,9.9
2024-01-02 06:00:00+00:00,69.2,23.0,174.0,2.6,64.0,13.5
2024-01-02 07:00:00+00:00,88.2,27.6,176.0,2.0,73.0,16.3
2024-01-02 08:00:00+00:00,120.1,30.9,176.0,1.1,85.0,18.5
2024-01-02 09:00:00+00:00,159.3,31.5,176.0,0.5,93.0,19.2
2024-01-02 10:00:00+00:00,184.9,30.5,174.0,0.2,94.0,17.4
2024-01-02 11:00:00+00:00,197.4,29.7,171.0,0.2,92.0,14.1
2024-01-02 12:00:00+00:00,171.8,28.1,188.0,0.5,84.0,9.8
2024-01-02 13:00:00+00:00,159.7,27.1,190.0,1.5,80.0,9.5
2024-01-02 14:00:00+00:00,151.8,26.8,193.0,3.0,73.0,9.0
2024-01-02 15:00:00+00:00,111.3,26.0,195.0,4.0,68.0,8.8
2024-01-02 16:00:00+00:00,94.1,25.3,196.0,4.2,64.0,9.0
2024-01-02 17:00:00+00:00,87.1,25.1,196.0,4.1,61.0,9.4
2024-01-02 18:00:00+00:00,77.5,24.9,196.0,3.9,59.0,9.8
2024-01-02 19:00:00+00:00,71.5,24.7,196.0,3.8,57.0,10.1
2024-01-02 20:00:00+00:00,65.2,24.4,196.0,3.7,56.0,10.3
2024-01-02 21:00:00+00:00,60.3,24.0,196.0,3.5,55.0,10.4
2024-01-02 22:00:00+00:00,56.9,23.6,195.0,3.1,53.0,10.3
