id_camera,data_hora,qtd_pessoas,fk_upa
1,"2025-04-26 21:04:36",110,1
2,"2025-04-26 21:09:36",113,1
3,"2025-04-26 21:14:36",111,1
4,"2025-04-26 21:19:36",115,1
5,"2025-04-26 21:24:36",118,1
6,"2025-04-26 21:29:36",119,1
7,"2025-04-26 21:34:36",117,1
8,"2025-04-26 21:39:36",116,1
9,"2025-04-26 21:44:36",116,1
10,"2025-04-26 21:49:36",117,1
11,"2025-04-26 21:54:36",116,1
12,"2025-04-26 21:59:36",NULL,1
13,"2025-04-26 22:04:36",118,1
14,"2025-04-26 22:09:36",117,1
15,"2025-04-26 22:14:36",115,1
16,"2025-04-26 22:19:36",112,1
17,"2025-04-26 22:24:36",110,1
18,"2025-04-26 22:29:36",115,1
19,"2025-04-26 22:34:36",111,1
20,"2025-04-26 22:39:36",NULL,1
21,"2025-04-26 22:44:36",109,1
22,"2025-04-26 22:49:36",110,1
23,"2025-04-26 22:54:36",108,1
24,"2025-04-26 22:59:36",110,1
25,"2025-04-26 23:04:36",113,1
26,"2025-04-26 23:09:36",110,1
27,"2025-04-26 23:14:36",108,1
28,"2025-04-26 23:19:36",105,1
29,"2025-04-26 23:24:36",103,1
30,"2025-04-26 23:29:36",107,1
31,"2025-04-26 23:34:36",106,1
32,"2025-04-26 23:39:36",102,1
33,"2025-04-26 23:44:36",100,1
34,"2025-04-26 23:49:36",102,1
35,"2025-04-26 23:54:36",107,1
36,"2025-04-26 23:59:36",102,1
37,"2025-04-27 00:04:36",103,1
38,"2025-04-27 00:09:36",106,1
39,"2025-04-27 00:14:36",106,1
40,"2025-04-27 00:19:36",106,1
41,"2025-04-27 00:24:36",107,1
42,"2025-04-27 00:29:36",106,1
43,"2025-04-27 00:34:36",104,1
44,"2025-04-27 00:39:36",102,1
45,"2025-04-27 00:44:36",101,1
46,"2025-04-27 00:49:36",104,1
47,"2025-04-27 00:54:36",104,1
48,"2025-04-27 00:59:36",104,1
49,"2025-04-27 01:04:36",105,1
50,"2025-04-27 01:09:36",109,1
51,"2025-04-27 01:14:36",104,1
52,"2025-04-27 01:19:36",104,1
53,"2025-04-27 01:24:36",103,1
54,"2025-04-27 01:29:36",106,1
55,"2025-04-27 01:34:36",106,1
56,"2025-04-27 01:39:36",106,1
57,"2025-04-27 01:44:36",107,1
58,"2025-04-27 01:49:36",108,1
59,"2025-04-27 01:54:36",108,1
60,"2025-04-27 01:59:36",104,1
61,"2025-04-27 02:04:36",102,1
62,"2025-04-27 02:09:36",99,1
63,"2025-04-27 02:14:36",99,1
64,"2025-04-27 02:19:36",100,1
65,"2025-04-27 02:24:36",102,1
66,"2025-04-27 02:29:36",107,1
67,"2025-04-27 02:34:36",104,1
68,"2025-04-27 02:39:36",109,1
69,"2025-04-27 02:44:36",105,1
70,"2025-04-27 02:49:36",101,1
71,"2025-04-27 02:54:36",101,1
72,"2025-04-27 02:59:36",102,1
73,"2025-04-27 03:04:36",106,1
74,"2025-04-27 03:09:36",106,1
75,"2025-04-27 03:14:36",106,1
76,"2025-04-27 03:19:36",NULL,1
77,"2025-04-27 03:24:36",99,1
78,"2025-04-27 03:29:36",100,1
79,"2025-04-27 03:34:36",100,1
80,"2025-04-27 03:39:36",97,1
81,"2025-04-27 03:44:36",93,1
82,"2025-04-27 03:49:36",92,1
83,"2025-04-27 03:54:36",89,1
84,"2025-04-27 03:59:36",91,1
85,"2025-04-27 04:04:36",93,1
86,"2025-04-27 04:09:36",97,1
87,"2025-04-27 04:14:36",94,1
88,"2025-04-27 04:19:36",99,1
89,"2025-04-27 04:24:36",96,1
90,"2025-04-27 04:29:36",94,1
91,"2025-04-27 04:34:36",95,1
92,"2025-04-27 04:39:36",97,1
93,"2025-04-27 04:44:36",95,1
94,"2025-04-27 04:49:36",94,1
95,"2025-04-27 04:54:36",NULL,1
96,"2025-04-27 04:59:36",96,1
97,"2025-04-27 05:04:36",96,1
98,"2025-04-27 05:09:36",94,1
99,"2025-04-27 05:14:36",93,1
100,"2025-04-27 05:19:36",95,1
101,"2025-04-27 05:24:36",93,1
102,"2025-04-27 05:29:36",95,1
103,"2025-04-27 05:34:36",93,1
104,"2025-04-27 05:39:36",88,1
105,"2025-04-27 05:44:36",90,1
106,"2025-04-27 05:49:36",91,1
107,"2025-04-27 05:54:36",95,1
108,"2025-04-27 05:59:36",90,1
109,"2025-04-27 06:04:36",92,1
110,"2025-04-27 06:09:36",90,1
111,"2025-04-27 06:14:36",91,1
112,"2025-04-27 06:19:36",93,1
113,"2025-04-27 06:24:36",NULL,1
114,"2025-04-27 06:29:36",89,1
115,"2025-04-27 06:34:36",93,1
116,"2025-04-27 06:39:36",89,1
117,"2025-04-27 06:44:36",93,1
118,"2025-04-27 06:49:36",91,1
119,"2025-04-27 06:54:36",89,1
120,"2025-04-27 06:59:36",86,1
121,"2025-04-27 07:04:36",89,1
122,"2025-04-27 07:09:36",89,1
123,"2025-04-27 07:14:36",NULL,1
124,"2025-04-27 07:19:36",86,1
125,"2025-04-27 07:24:36",87,1
126,"2025-04-27 07:29:36",NULL,1
127,"2025-04-27 07:34:36",89,1
128,"2025-04-27 07:39:36",89,1
129,"2025-04-27 07:44:36",89,1
130,"2025-04-27 07:49:36",86,1
131,"2025-04-27 07:54:36",90,1
132,"2025-04-27 07:59:36",89,1
133,"2025-04-27 08:04:36",89,1
134,"2025-04-27 08:09:36",91,1
135,"2025-04-27 08:14:36",91,1
136,"2025-04-27 08:19:36",90,1
137,"2025-04-27 08:24:36",85,1
138,"2025-04-27 08:29:36",NULL,1
139,"2025-04-27 08:34:36",84,1
140,"2025-04-27 08:39:36",85,1
141,"2025-04-27 08:44:36",84,1
142,"2025-04-27 08:49:36",81,1
143,"2025-04-27 08:54:36",83,1
144,"2025-04-27 08:59:36",85,1
145,"2025-04-27 09:04:36",87,1
146,"2025-04-27 09:09:36",89,1
147,"2025-04-27 09:14:36",85,1
148,"2025-04-27 09:19:36",NULL,1
149,"2025-04-27 09:24:36",91,1
150,"2025-04-27 09:29:36",92,1
151,"2025-04-27 09:34:36",93,1
152,"2025-04-27 09:39:36",96,1
153,"2025-04-27 09:44:36",95,1
154,"2025-04-27 09:49:36",94,1
155,"2025-04-27 09:54:36",93,1
156,"2025-04-27 09:59:36",96,1
157,"2025-04-27 10:04:36",94,1
158,"2025-04-27 10:09:36",98,1
159,"2025-04-27 10:14:36",96,1
160,"2025-04-27 10:19:36",100,1
161,"2025-04-27 10:24:36",98,1
162,"2025-04-27 10:29:36",NULL,1
163,"2025-04-27 10:34:36",95,1
164,"2025-04-27 10:39:36",97,1
165,"2025-04-27 10:44:36",93,1
166,"2025-04-27 10:49:36",94,1
167,"2025-04-27 10:54:36",97,1
168,"2025-04-27 10:59:36",100,1
169,"2025-04-27 11:04:36",96,1
170,"2025-04-27 11:09:36",95,1
171,"2025-04-27 11:14:36",95,1
172,"2025-04-27 11:19:36",NULL,1
173,"2025-04-27 11:24:36",101,1
174,"2025-04-27 11:29:36",97,1
175,"2025-04-27 11:34:36",NULL,1
176,"2025-04-27 11:39:36",94,1
177,"2025-04-27 11:44:36",91,1
178,"2025-04-27 11:49:36",93,1
179,"2025-04-27 11:54:36",92,1
180,"2025-04-27 11:59:36",89,1
181,"2025-04-27 12:04:36",92,1
182,"2025-04-27 12:09:36",90,1
183,"2025-04-27 12:14:36",NULL,1
184,"2025-04-27 12:19:36",90,1
185,"2025-04-27 12:24:36",90,1
186,"2025-04-27 12:29:36",NULL,1
187,"2025-04-27 12:34:36",91,1
188,"2025-04-27 12:39:36",89,1
189,"2025-04-27 12:44:36",87,1
190,"2025-04-27 12:49:36",85,1
191,"2025-04-27 12:54:36",85,1
192,"2025-04-27 12:59:36",86,1
193,"2025-04-27 13:04:36",85,1
194,"2025-04-27 13:09:36",86,1
195,"2025-04-27 13:14:36",87,1
196,"2025-04-27 13:19:36",88,1
197,"2025-04-27 13:24:36",88,1
198,"2025-04-27 13:29:36",85,1
199,"2025-04-27 13:34:36",NULL,1
200,"2025-04-27 13:39:36",89,1
201,"2025-04-27 13:44:36",89,1
202,"2025-04-27 13:49:36",NULL,1
203,"2025-04-27 13:54:36",87,1
204,"2025-04-27 13:59:36",84,1
205,"2025-04-27 14:04:36",84,1
206,"2025-04-27 14:09:36",86,1
207,"2025-04-27 14:14:36",85,1
208,"2025-04-27 14:19:36",85,1
209,"2025-04-27 14:24:36",85,1
210,"2025-04-27 14:29:36",87,1
211,"2025-04-27 14:34:36",86,1
212,"2025-04-27 14:39:36",87,1
213,"2025-04-27 14:44:36",87,1
214,"2025-04-27 14:49:36",89,1
215,"2025-04-27 14:54:36",88,1
216,"2025-04-27 14:59:36",89,1
217,"2025-04-27 15:04:36",92,1
218,"2025-04-27 15:09:36",88,1
219,"2025-04-27 15:14:36",NULL,1
220,"2025-04-27 15:19:36",87,1
221,"2025-04-27 15:24:36",86,1
222,"2025-04-27 15:29:36",85,1
223,"2025-04-27 15:34:36",83,1
224,"2025-04-27 15:39:36",82,1
225,"2025-04-27 15:44:36",82,1
226,"2025-04-27 15:49:36",80,1
227,"2025-04-27 15:54:36",77,1
228,"2025-04-27 15:59:36",74,1
229,"2025-04-27 16:04:36",72,1
230,"2025-04-27 16:09:36",72,1
