id_umidade,data_hora,valor,fk_upa
1,"2025-04-26 21:04:36",40.6,1
2,"2025-04-26 21:09:36",40.7,1
3,"2025-04-26 21:14:36",40.7,1
4,"2025-04-26 21:19:36",40.5,1
5,"2025-04-26 21:24:36",40.3,1
6,"2025-04-26 21:29:36",40.3,1
7,"2025-04-26 21:34:36",40.7,1
8,"2025-04-26 21:39:36",NULL,1
9,"2025-04-26 21:44:36",NULL,1
10,"2025-04-26 21:49:36",NULL,1
11,"2025-04-26 21:54:36",NULL,1
12,"2025-04-26 21:59:36",NULL,1
13,"2025-04-26 22:04:36",NULL,1
14,"2025-04-26 22:09:36",NULL,1
15,"2025-04-26 22:14:36",NULL,1
16,"2025-04-26 22:19:36",58.2,1
17,"2025-04-26 22:24:36",57.7,1
18,"2025-04-26 22:29:36",58.1,1
19,"2025-04-26 22:34:36",NULL,1
20,"2025-04-26 22:39:36",59.2,1
21,"2025-04-26 22:44:36",59.3,1
22,"2025-04-26 22:49:36",60.2,1
23,"2025-04-26 22:54:36",59.3,1
24,"2025-04-26 22:59:36",59.3,1
25,"2025-04-26 23:04:36",59.5,1
26,"2025-04-26 23:09:36",60.1,1
27,"2025-04-26 23:14:36",59.7,1
28,"2025-04-26 23:19:36",60.1,1
29,"2025-04-26 23:24:36",60.5,1
30,"2025-04-26 23:29:36",61.0,1
31,"2025-04-26 23:34:36",59.9,1
32,"2025-04-26 23:39:36",60.7,1
33,"2025-04-26 23:44:36",61.6,1
34,"2025-04-26 23:49:36",NULL,1
35,"2025-04-26 23:54:36",52.0,1
36,"2025-04-26 23:59:36",52.3,1
37,"2025-04-27 00:04:36",52.8,1
38,"2025-04-27 00:09:36",53.3,1
39,"2025-04-27 00:14:36",54.4,1
40,"2025-04-27 00:19:36",55.4,1
41,"2025-04-27 00:24:36",54.6,1
42,"2025-04-27 00:29:36",55.1,1
43,"2025-04-27 00:34:36",54.0,1
44,"2025-04-27 00:39:36",54.1,1
45,"2025-04-27 00:44:36",53.0,1
46,"2025-04-27 00:49:36",54.0,1
47,"2025-04-27 00:54:36",53.6,1
48,"2025-04-27 00:59:36",54.6,1
49,"2025-04-27 01:04:36",54.6,1
50,"2025-04-27 01:09:36",55.5,1
51,"2025-04-27 01:14:36",55.4,1
52,"2025-04-27 01:19:36",NULL,1
53,"2025-04-27 01:24:36",56.3,1
54,"2025-04-27 01:29:36",55.7,1
55,"2025-04-27 01:34:36",55.3,1
56,"2025-04-27 01:39:36",55.8,1
57,"2025-04-27 01:44:36",56.3,1
58,"2025-04-27 01:49:36",56.4,1
59,"2025-04-27 01:54:36",56.5,1
60,"2025-04-27 01:59:36",56.0,1
61,"2025-04-27 02:04:36",56.3,1
62,"2025-04-27 02:09:36",56.1,1
63,"2025-04-27 02:14:36",55.4,1
64,"2025-04-27 02:19:36",54.6,1
65,"2025-04-27 02:24:36",54.0,1
66,"2025-04-27 02:29:36",52.9,1
67,"2025-04-27 02:34:36",54.0,1
68,"2025-04-27 02:39:36",53.2,1
69,"2025-04-27 02:44:36",53.3,1
70,"2025-04-27 02:49:36",52.4,1
71,"2025-04-27 02:54:36",52.4,1
72,"2025-04-27 02:59:36",51.6,1
73,"2025-04-27 03:04:36",51.5,1
74,"2025-04-27 03:09:36",52.4,1
75,"2025-04-27 03:14:36",51.8,1
76,"2025-04-27 03:19:36",51.2,1
77,"2025-04-27 03:24:36",50.4,1
78,"2025-04-27 03:29:36",49.7,1
79,"2025-04-27 03:34:36",50.5,1
80,"2025-04-27 03:39:36",49.6,1
81,"2025-04-27 03:44:36",50.0,1
82,"2025-04-27 03:49:36",49.0,1
83,"2025-04-27 03:54:36",NULL,1
84,"2025-04-27 03:59:36",57.3,1
85,"2025-04-27 04:04:36",56.5,1
86,"2025-04-27 04:09:36",56.2,1
87,"2025-04-27 04:14:36",56.7,1
88,"2025-04-27 04:19:36",NULL,1
89,"2025-04-27 04:24:36",44.8,1
90,"2025-04-27 04:29:36",45.9,1
91,"2025-04-27 04:34:36",46.4,1
92,"2025-04-27 04:39:36",46.3,1
93,"2025-04-27 04:44:36",46.9,1
94,"2025-04-27 04:49:36",47.1,1
95,"2025-04-27 04:54:36",47.8,1
